start_floor,end_floor,hall
27,32,R
13,14,L
13,15,L
40,41,L
39,40,L
39,41,L
38,39,L
38,40,L
38,41,L
37,38,C
37,39,C
36,37,C
36,38,C
36,39,C
35,36,C
35,37,C
35,38,C
35,39,C
34,35,C
34,36,C
34,37,C
34,38,C
34,39,C
33,34,C
33,35,C
33,36,C
33,37,C
33,38,C
33,39,C
32,33,L
32,34,L
32,35,L
32,36,L
32,37,L
32,38,L
32,39,L
32,40,L
30,32,L
30,33,L
30,34,L
29,30,L
29,32,L
29,33,L
29,34,L
28,29,L
28,30,L
28,32,L
28,33,L
28,34,L
28,35,L
28,36,L
28,37,L
28,38,L
28,39,L
28,40,L
26,28,L
26,29,L
26,30,L
26,32,L
26,33,L
26,34,L
