start_floor,end_floor,hall
41,38,L
41,39,L
41,40,L
40,28,L
40,32,L
40,38,L
40,39,L
39,33,C
39,34,C
39,35,C
39,36,C
39,37,C
39,38,C
39,28,L
39,32,L
39,38,L
38,28,L
38,32,L
37,33,C
37,34,C
37,35,C
37,36,C
37,28,R
37,32,R
36,28,L
36,32,L
36,33,C
36,34,C
36,35,C
35,28,L
35,32,L
35,33,C
35,34,C
34,26,L
34,28,L
34,29,L
34,30,L
34,32,L
34,33,C
33,26,L
33,28,L
33,29,L
33,30,L
33,32,L
32,2,R
32,16,R
32,18,R
32,19,R
32,20,R
32,21,R
32,22,R
32,23,R
32,24,R
32,25,R
32,27,R
32,26,L
32,28,L
32,29,L
32,30,L
30,26,L
30,28,L
30,29,L
29,26,L
29,28,L
28,2,C
28,26,L
27,2,R
27,16,R
27,18,R
27,19,R
27,20,R
27,21,R
27,22,R
27,23,R
27,24,R
27,25,R
26,1,C
25,2,R
25,16,R
25,18,R
25,19,R
25,20,R
25,21,R
25,22,R
25,23,R
25,24,R
25,1,C
24,2,R
24,16,R
24,18,R
24,19,R
24,20,R
24,21,R
24,22,R
24,23,R
23,2,R
23,16,R
23,18,R
23,19,R
23,20,R
23,21,R
23,22,R
22,2,R
22,16,R
22,18,R
22,19,R
22,20,R
22,21,R
21,1,R
21,16,R
21,18,R
21,19,R
21,20,R
20,1,R
20,16,R
20,18,R
20,19,R
19,1,R
19,16,R
19,18,R
18,1,R
18,16,R
16,1,R
15,2,L
15,4,L
15,5,L
15,6,L
15,7,L
15,8,L
15,9,L
15,10,L
15,11,L
15,12,L
15,13,L
15,14,L
14,2,L
14,4,L
14,5,L
14,6,L
14,7,L
14,8,L
14,9,L
14,10,L
14,11,L
14,12,L
14,13,L
13,2,L
13,4,L
13,5,L
13,6,L
13,7,L
13,8,L
13,9,L
13,10,L
13,11,L
13,12,L
12,2,L
12,4,L
12,5,L
12,6,L
12,7,L
12,8,L
12,9,L
12,10,L
12,11,L
11,2,L
11,4,L
11,5,L
11,6,L
11,7,L
11,8,L
11,9,L
11,10,L
10,2,L
10,4,L
10,5,L
10,6,L
10,7,L
10,8,L
10,9,L
9,1,L
9,4,L
9,5,L
9,6,L
9,7,L
9,8,L
8,1,L
8,4,L
8,5,L
8,6,L
8,7,L
7,1,L
7,4,L
7,5,L
7,6,L
6,1,L
6,4,L
6,5,L
5,1,L
5,4,L
4,1,L
2,1,R
